"attraction_id","user","rating","review","review_date"
"3383","luckychris101","5.0","Great Introduction to the City. The tour started on time. The staff was friendly and appeared to enjoy their job. There were no issues with our vehicle throughout the tour. I liked that we went up Citadel Hill and then into the Harbour as well. If you only have a...","September 4, 2018"
"3383","olga_s","4.0","Interesting trip.. Very informative.However, the day , we took the trip two buses got broken.\nI would recommend , specially if you can swim ( just in case) .","August 27, 2018"
"3383","wally_m","4.0","Vacation in Halifax. Seat came loose and my mother in law fell and hurt her hip while the hopper was on citadel hill. Took away from what would have been a great excursion. However, that being said, the staff was very attentive to us and to my concerns...","August 20, 2018"
"3383","alexis_j","5.0","Great tour! Lots of fun!. Really enjoyed our tour! Was quite neat to go from land to water and back again. Graham our tour guide was informative and entertaining (and gave some good recommendations for things to visit, restaurants and shops in town), and Tony was a safe and smooth...","August 15, 2018"
"3383","sandrae995","3.0","Fun Trip. We had a great narrator Adrian who made up for the fact our boat was falling apart. The awning which was supposed to give us shade from the hot afternoon sun was broken. There were umbrellas to help us out but the fact remained it...","August 11, 2018"
"3383","sandi_b","3.0","Great but.. The host and captain were great. The awning broke on the hill so they had to take it down and it was a very hot day. We couldn't hear the host on the hills due to the diesel engine noise but otherwise it was wonderful....","August 2, 2018"
"3383","bill_k","4.0","A lot of fun.. The tour was well worth taking. We went at 7:30 p.m. and got a beautiful view of the sunset over Halifax Harbour. The captain and the tour guide were fun. We saw a number of things to which we returned the next day to spend...","August 1, 2018"
"3383","travelbelle88","4.0","Very good tour. This is really the only decent tour of Halifax, because the hop on/off bus has been criticized for infrequent departures and unpredictable timing. It covers a lot of good history and many of the sights in Halifax, but is limited to a narrow part of...","July 30, 2018"
"3383","mikeduval","5.0","Good place to start. Vacation there with my family on July 27, 2018. When we arrive in Halifax we immediately went to the pier try and figure out what to do, we saw the tour so we figured It was a good place to start. We did not regret...","July 30, 2018"
"3383","nadia_i","5.0","Went for the views! Impressed by the guide! . We decided to go on the Harbour hopper because obviously a land and sea vehicle is hard to pass up, but we were actually very pleased with the interesting facts we learned about the amazing city of Halifax. Our tour guide was very knowledgeable and...","July 27, 2018"
"3383","bcbikeguy","4.0","A great tour with excellent commentary. Just a perfect thing to do on a sunny day. This ""boat"" gives a quite different view of the waterfront from both land and sea. The tour director gave us lively and sometimes amusing commentary as we toured the harbour and downtown area. Considering the...","July 24, 2018"
"3383","chicki7","4.0","Fun and informative. It was a perfect combination of history lessons and humour.\nOne hour long so it was great for a family tour as the kids do not get bored listening to history of area.\nOur tour guide was a young lady who shared very interesting facts...","July 20, 2018"
"3383","oriental_guest","5.0","A quick but informative tour. This is one hour guided tour the touches main historical significant points in the downtown core of Halifax and a cruise on the harbour - giving the excellent skyline view of the city. Highly recommended if you are short of time.","July 14, 2018"
"3383","margot4nier","5.0","Great way to see Halifax. The guide was very knowledgeable. Was able to see Halifax from sea and land. Fun tour. Hopper is covered for those sunny days. Books up fast.","July 8, 2018"
