"attraction_id","user","rating","review","review_date"
"2239","753leenad","5.0","Worth and Magnificent . So I did a day trip with Airlink and we covered a lot of thing on the way and from Niagara Falls. Our tour guide Alicia was very informative and our driver from Pakistan took us there safely. This tour is optional if you want...","May 24, 2017"
"2239","katie_j","5.0","Trip of a lifetime. Amazing day. Punctual pick up around toronto city, there was only a small group of us. Then a lively journey with commentary from our lovely guide as we made our way to niagra on the lake which had all the village charm you want. We...","May 22, 2017"
"2239","egils_k","5.0","Nice. A must see when in the Toronto area. View at night is amazing. All lite up with colours.\nMany other things to see and do. Check out the Maid of the Most. Amazing vantage point of the falls. Feel the awesome power of nature.\nThe...","May 22, 2017"
"2239","appreciate2015","4.0","Good trip for a long weekend and stay over to enjoy the fireworks over the falls.. Absolutely a worthwhile trip for a day to visit the falls, walks along the fine dining areas and icecream.","May 22, 2017"
"2239","jlbmpms","5.0","Amazing day trip!. This tour was absolutely fantastic. The bus was clean and new, and arrived on time at a central location in Downtown Toronto, and water was provided. The tour guide was wonderful and provided knowledge on all the areas we were driving past - an excellent...","May 20, 2017"
"2239","alex_b","5.0","Wonderful Day Trip. Pick up was on time with fairly new mini van. Paul was a great driver/tour guide. He knew everything about the history and background to all the landmarks and sights. As we had a private tour with two couples we were able to request extra...","May 14, 2017"
"2239","2bcs","5.0","Great day trip to Niagara Falls. Burkus provided a great tour experience from our downtown Toronto hotel to Niagara Falls. My husband and I were picked up on time. He outlined what we would see and how long we would be at each stop. Burkus gave us history and information all...","May 11, 2017"
"2239","claireemjay","5.0","Fab day. This trip to Niagara Falls from Toronto was great. Our driver, Duncan, was friendly and knowledgable and gave us plenty of interesting info without being over the top. It was a smaller bus that was really comfy and ran perfectly to time. The little stops...","May 8, 2017"
"2239","martin_v","5.0","amazing. tour from toronto takes you in a short two hours to the falls. it is a fantastic experience, do take the boat tour","May 8, 2017"
"2239","royblack","5.0","Unforgettable experience.. This was a brilliant day out, from being picked up at our hotel at 8.30 am to being dropped of at 7pm (traffic was heavy on our return to Toronto due to a Toronto Maple Leafs game).\nFirst stop was Niagara on the Lake, and...","May 6, 2017"
"2239","glaw123","5.0","Thanks Burkus! . I decided to join the day tour to Niagara Falls as I travelled with my parents this time(I am not teenager but seems that TripAdvisor dun give me the option of ""family""). The day tour was really informative and smooth. Burkus has done a really...","May 3, 2017"
"2239","anumanum","5.0","Do this!. Partner isn't a huge fan of organised tours. I dragged the poor soul into it and forced him to enjoy one of the most interesting outings we had on our trip.\nIt must be said that Niagara itself didn't wow us as much as we'd...","May 1, 2017"
"2239","dwhandmjh38","5.0","Brilliant!. From start to finish this was a fantastic day. The time spent at each stop was just right and we had 3 hours at the Falls which was perfect. Burkus relayed many interesting facts during the day. The wine tasting was particularly interesting and informative....","April 29, 2017"
