"attraction_id","user","rating","review","review_date"
"3310","dfwmw","5.0","Just fantasttic!. Took one of Harbour Air's tours of Vancouver harbor on something of a whim while killing time before my flight home. Probably one of the best decisions I have made in a long time. Absolutely fabulous and well worth the money. Will be sure to...","July 5, 2018"
"3310","mckeyman","5.0","Amazing experience and way to see Vancouver and it's bays.. We were walking near the area when we ran into some friends who had just finished their tour and told us how much they enjoyed it. We walked over to the seaplane airport and were able to book a tour a little later in the...","July 3, 2018"
"3310","texas7jf","5.0","Highlight of Our Trip. Our 12 yr old loved loved this. Our pilot, Mike A (red beard) was so great. Let our son sit in the copilot seat (no controls on that side) and wear the headphones so he could listen to the air traffic control conversations.\nDefinitely a...","July 1, 2018"
"3310","richardson37","5.0","Great experience. what a great (and better) way to see Vancouver from above. We chose the extended tour and this involved flying over Grouse Mountain , along the coast and multiple circuits of the city. The views were great for all the passengers. The safety instructions were...","June 25, 2018"
"3310","voyage48","5.0","Fantastic views. We made a last minute decision while on the island to do the 35 minute trip around the surrounding islands and back. As the plane was not full so we were able to get window seats. We waited in the small departure lounge for about...","June 22, 2018"
"3310","chrisberkhamsted","5.0","wonderful. we have taken small plane tours in other places before - for example in Queenstown NZ - this was as good as any - giving a chance to see Vancouver as a whole in its setting. the pilot was informative- a good guide - I...","June 22, 2018"
"3310","nonnasmate","5.0","Awesome trip. Excellent facilities at the Seaplane terminal and very helpful staff. We had an awesome trip over the city, harbour and mountains.","June 7, 2018"
"3310","951helene","5.0","Fabulous way to view Vancouver. Have always wanted to add a seaplane trip to my list of 'achievements' - and I doubt there's anywhere better to do this than in the stunning city of Vancouver. Fabulous way to view the city and surrounding area. Highly recommend.","June 2, 2018"
"3310","rick_f","5.0","Harbour Air Extended Scenic Tour. I had been debating whether or not to take a scenic flight with Harbour Air for a few days when I decided to just bite the bullet and do it. And, I am happy that I did. The tour I selected was the Extended Scenic...","May 28, 2018"
"3310","hamishmcclelland","5.0","Vancouver Classic Panorama. Took the vancouver panorama flight at around 6:30pm. Was not disapointed got beautiful views of the city and the mountains with the sun setting in the background. The captain was very hospitable. Was definitely an experience i will do again","May 17, 2018"
"3310","k8173hwmarks","5.0","Best way to see Vancouver. What a fabulous way to see the city. Having watched the seaplanes taking off and landing all day, we decided to take the plunge and sign up. It was a wonderful experience - 20 minutes was more than enough to get a really good impression...","May 8, 2018"
"3310","r0tu","5.0","Top Notch. The HA staff was very pleasant throughout. The pilot and plane (DH Otter) inspired confidence, and the experience is not to be missed.","April 19, 2018"
"3310","roomfeedback","4.0","Must do but annoying extra charge for poor commentary . Absolute must do. Having paid approx $200 a head for the 35 mins having to pay extra to get an audio commentary just felt like being fleeced . Commentary is very poor so not recommended. Probably worth paying up for a window seat at check...","April 17, 2018"
"3310","bala_k","5.0","Vancouver Classic Panorama Sea Plance Tour over Vancouver. An interesting experience in the sea plane tour over Vancouver. The pilot was a confidant and jovial gentleman . He briefed us about the history of the aircraft and assured us a thrilling experience. My wife and I for the first time in our life...","March 13, 2018"
"3310","sayanis91","5.0","A beautiful treat and adventure. Vancouver is a beautiful city. A bird eye view of this city is a must have. And seaplane ride is cherry on the top. Enjoyed 30 mins ride and witnessed bird eye view of one of the world's beautiful city. It costs me around 16k...","March 8, 2018"
"3310","motorbikemal","5.0","amazing way to see the city and mountains nearby. highly recommend the 20min flight, check in early to take advantage of free coffee and pastries in departure lounge. added audio tour was good too.","February 18, 2018"
"3310","romaurino","5.0","Top. We loved this tour so much. The views are spectacular and the pilot was very nice. It is worth every penny. I am afraid of heights and planes and thought I wouldn't enjoy it as much, but the flight was so smooth that I wasn't...","January 4, 2018"
"3310","cocostravelsdotcom","5.0","Amazing Experience - this is a must in Vancouver!. We loved our 20min trip above Vancouver and would definitely recommend it. If we had more time then we would have taken a trip up to Whistler. A beautiful day, great weather and amazing views. Professional and helpful service from Harbour Air Seaplanes.","December 10, 2017"
"3310","jared-kiwi","5.0","Extended Vancouver Panorama. There was low cloud around Vancouver, so the pilot advised he would alter the normal route to give us the best tour possible. As we were boarding the pilot offered us the two person bench or a single seat and the co pilots seat, we...","December 1, 2017"
"3310","brendastarshine","5.0","Amazing views for 20 minutes....and some mobility comments. Loved the quick tour- there is nothing like seeing the Vancouver area from above; til then you cant appreciate how vast it is or the physical layout. I just read some other reviews and am surprised to see references about being offered free refreshments in...","November 10, 2017"
